iter	Passed	Remaining
688	636	287
689	636	286
690	637	285
691	638	284
692	638	282
693	641	283
694	642	281
695	643	280
696	643	279
697	644	278
698	644	277
699	646	277
700	647	276
701	647	275
702	648	273
703	648	272
704	649	271
705	650	270
706	650	269
707	651	268
708	651	267
709	652	266
710	653	265
711	653	264
712	657	264
713	658	263
714	658	262
715	659	261
716	659	260
717	661	259
718	662	258
719	662	257
720	663	256
721	664	255
722	664	254
723	665	253
724	665	252
725	666	251
726	666	250
727	667	249
728	668	248
729	676	250
730	679	250
731	700	256
732	708	258
733	721	261
734	726	261
735	730	262
736	731	261
737	737	261
738	741	261
739	745	261
740	753	263
741	757	263
742	759	262
743	761	262
744	767	262
745	769	262
746	774	262
747	776	261
748	782	262
749	784	261
750	789	261
751	792	261
752	797	261
753	800	261
754	806	261
755	807	260
756	811	260
757	812	259
758	814	258
759	815	257
760	817	256
761	819	256
762	821	255
763	827	255
764	828	254
765	831	253
766	833	253
767	836	252
768	837	251
769	843	251
770	845	251
771	848	250
772	850	249
773	851	248
774	853	247
775	858	247
776	859	246
777	860	245
778	861	244
779	862	243
780	863	242
781	864	241
782	866	240
783	868	239
784	871	238
785	872	237
786	873	236
787	874	235
788	875	234
789	876	232
790	878	232
791	880	231
792	883	230
793	886	230
794	888	229
795	889	227
796	890	226
797	897	227
798	903	227
799	904	226
800	906	225
801	908	224
802	912	223
803	917	223
804	918	222
805	919	221
806	920	220
807	921	218
808	922	217
809	925	217
810	927	216
811	930	215
812	931	214
813	932	213
814	933	211
815	934	210
816	934	209
817	935	208
818	936	206
819	942	206
820	949	206
821	950	205
822	951	204
823	951	203
824	954	202
825	957	201
826	958	200
827	963	200
828	965	199
829	966	197
830	967	196
831	969	195
832	970	194
833	971	193
834	972	192
835	973	191
836	979	190
837	980	189
838	981	188
839	983	187
840	984	186
841	985	184
842	986	183
843	987	182
844	988	181
845	988	180
846	989	178
847	994	178
848	995	177
849	996	175
850	997	174
851	999	173
852	1000	172
853	1001	171
854	1002	169
855	1002	168
856	1003	167
857	1004	166
858	1005	165
859	1009	164
860	1009	163
861	1010	161
862	1011	160
863	1013	159
864	1014	158
865	1015	157
866	1015	155
867	1016	154
868	1017	153
869	1017	152
870	1018	150
871	1019	149
872	1020	148
873	1025	147
874	1027	146
875	1029	145
876	1030	144
877	1030	143
878	1031	142
879	1033	140
880	1039	140
881	1041	139
882	1043	138
883	1043	136
884	1044	135
885	1045	134
886	1046	133
887	1047	132
888	1048	130
889	1049	129
890	1053	128
891	1054	127
892	1055	126
893	1058	125
894	1062	124
895	1064	123
896	1065	122
897	1071	121
898	1072	120
899	1075	119
900	1077	118
901	1082	117
902	1083	116
903	1088	115
904	1089	114
905	1091	113
906	1092	112
907	1093	110
908	1099	110
909	1105	109
910	1106	108
911	1106	106
912	1108	105
913	1109	104
914	1113	103
915	1121	102
916	1130	102
917	1131	101
918	1133	99
919	1134	98
920	1135	97
921	1136	96
922	1137	94
923	1155	95
924	1163	94
925	1165	93
926	1166	91
927	1167	90
928	1168	89
929	1178	88
930	1179	87
931	1180	86
932	1181	84
933	1185	83
934	1210	84
935	1212	82
936	1214	81
937	1230	81
938	1231	80
939	1232	78
940	1233	77
941	1239	76
942	1240	74
943	1242	73
944	1242	72
945	1243	70
946	1247	69
947	1248	68
948	1255	67
949	1256	66
950	1257	64
951	1258	63
952	1262	62
953	1263	60
954	1264	59
955	1264	58
956	1267	56
957	1270	55
958	1272	54
959	1273	53
960	1275	51
961	1277	50
962	1278	49
963	1282	47
964	1283	46
965	1284	45
966	1285	43
967	1287	42
968	1288	41
969	1289	39
970	1290	38
971	1291	37
972	1291	35
973	1292	34
974	1293	33
975	1294	31
976	1306	30
977	1308	29
978	1309	28
979	1310	26
980	1313	25
981	1314	24
982	1315	22
983	1316	21
984	1318	20
985	1319	18
986	1322	17
987	1324	16
988	1335	14
989	1347	13
990	1353	12
991	1355	10
992	1356	9
993	1361	8
994	1364	6
995	1365	5
996	1366	4
997	1367	2
998	1368	1
999	1370	0
